indication,target,molecular_weight,logP,traditional_time_years
arthritis,PD-L1,497.3,3.68,12.34
obesity,IL-4,474.6,2.18,10.02
colorectal_cancer,PR,472.1,4.2,13.22
lymphoma,HIF,402.3,5.1,11.51
arrhythmia,HDAC,407.9,3.03,11.45
als,ROS1,396.2,3.22,9.95
epilepsy,IGF1R,310.6,2.45,11.2
heart_failure,VEGFR,362.6,3.14,9.38
hepatitis_b,EGFR,529.6,3.65,8.45
kidney_disease,IL-4,260.3,5.04,9.71
copd,IL-1,473.6,2.22,10.55
esophageal_cancer,BRD4,462.6,3.18,10.8
breast_cancer,ERK,396.7,3.2,11.34
melanoma,VEGFR,401.4,2.6,13.96
insomnia,GABA_A,395.1,1.57,9.08
hepatitis_c,GR,461.7,3.59,8.11
schizophrenia,IL-6,491.2,3.82,11.21
arrhythmia,BRAF,475.9,2.47,9.42
obesity,IL-6,517.2,1.64,9.04
ulcerative_colitis,AKT,377.9,2.04,10.19
lupus,SGLT2,536.4,3.94,10.61
lung_cancer,CD22,489.0,4.07,13.69
leukemia,IGF1R,379.7,3.35,12.29
multiple_sclerosis,BCMA,440.0,3.85,14.27
tuberculosis,HGF,440.8,2.62,10.42
huntingtons,TGF_beta,493.3,3.88,11.06
heart_failure,BRD4,396.5,2.94,10.61
autism,FGF,365.3,0.5,11.56
ulcerative_colitis,EGF,466.0,3.61,12.16
asthma,HDAC,471.0,1.05,9.07
parkinsons,RET,421.9,0.78,13.75
lung_cancer,CD33,559.6,1.91,10.76
influenza,GLP-1R,550.4,3.95,9.83
thyroid_cancer,PD-1,378.0,1.87,12.15
asthma,GPC3,478.0,2.16,9.28
insomnia,ROS1,458.2,2.52,12.01
arrhythmia,Wnt,307.5,0.77,13.56
huntingtons,PI3K,468.1,2.44,11.17
colorectal_cancer,CEA,405.8,3.7,13.86
tuberculosis,DNMT,543.9,2.73,9.68
atherosclerosis,ER_beta,422.8,3.5,10.1
breast_cancer,STAT,341.4,3.22,11.49
leukemia,ER_alpha,494.2,3.68,13.24
schizophrenia,VEGFR,295.1,2.24,12.17
huntingtons,TIGIT,379.7,3.1,15.2
asthma,MYC,488.5,4.5,12.23
lymphoma,VEGFR,410.4,2.5,12.2
myocardial_infarction,mTOR,542.0,3.3,8.8
thyroid_cancer,IGF1R,551.4,3.29,12.08
depression,JAK,357.4,1.67,11.99
lupus,CDK4,325.9,3.66,12.07
hiv_aids,SGLT2,545.1,4.85,11.2
arthritis,BRAF,517.4,4.16,10.33
influenza,PDGFR,403.6,1.84,8.41
myocardial_infarction,Wnt,518.0,3.42,12.55
depression,TGF_beta,458.6,3.39,10.51
brain_cancer,FGF,475.9,4.28,13.94
stroke,RET,553.6,3.54,8.87
prostate_cancer,CDK4,517.7,3.51,12.81
esophageal_cancer,PD-L1,413.1,3.76,14.68
cervical_cancer,CD22,338.4,4.05,11.38
multiple_sclerosis,JAK,354.4,3.29,10.56
autism,GCGR,382.4,3.55,10.4
type1_diabetes,HIF,447.3,1.41,12.1
arrhythmia,VEGFR,483.7,2.42,11.92
heart_failure,IL-23,520.5,3.0,10.97
malaria,BCMA,481.6,2.04,10.61
arthritis,IL-13,402.9,2.54,11.73
brain_cancer,IL-1,518.5,4.68,13.29
melanoma,IL-6,385.6,4.08,11.91
crohns_disease,ER_alpha,276.4,1.81,10.56
lymphoma,Hedgehog,373.3,1.65,13.49
psoriasis,HIF,323.3,3.41,11.37
stroke,HER3,432.9,3.38,9.92
malaria,GR,505.2,3.27,9.46
psoriasis,AMPA,502.6,2.93,12.32
epilepsy,TNF_alpha,355.0,4.06,9.25
hiv_aids,BCR-ABL,402.9,2.06,10.03
insomnia,STAT,435.8,2.09,11.9
colon_cancer,mTOR,416.6,3.34,12.71
brain_cancer,CD22,477.9,2.1,14.26
pneumonia,EGFR,411.0,4.07,9.47
rheumatoid_arthritis,ROS1,489.7,5.08,11.78
heart_failure,TGF_beta,544.4,4.14,11.21
copd,ERK,339.0,3.76,9.01
parkinsons,NMDA,445.8,2.45,12.71
leukemia,AR,463.4,3.95,10.65
crohns_disease,OX40,490.1,2.12,12.77
osteoporosis,IL-23,509.4,2.36,7.63
colorectal_cancer,TOP1,467.3,2.7,12.94
type2_diabetes,CD47,432.5,3.77,9.64
osteoporosis,ALK,366.8,4.95,10.23
malaria,RET,304.3,2.4,7.31
gout,AMPA,479.6,3.58,6.57
coronary_artery_disease,PR,442.0,2.94,11.2
sepsis,ROS1,482.8,2.77,8.37
hiv_aids,HER2,561.5,3.84,8.02
pneumonia,HER2,519.8,2.03,8.35
bladder_cancer,CD20,443.6,2.7,13.92
covid_19,TNF_alpha,369.6,3.36,8.29
type2_diabetes,VEGFPARP,407.0,3.66,9.71
gout,ROS1,364.4,4.72,9.32
cardiomyopathy,IL-1,378.3,3.22,11.57
pneumonia,GIPR,513.3,2.43,6.88
kidney_disease,5-HT2A,518.2,1.77,10.01
obesity,CTLA-4,566.2,3.01,10.01
schizophrenia,CDK6,402.3,2.7,10.22
adhd,Wnt,514.7,2.42,10.95
osteoporosis,PD-L1,390.1,2.78,8.36
liver_disease,GIPR,355.8,4.82,12.36
als,IL-17,404.7,3.83,10.59
pancreatic_cancer,BRAF,466.8,2.02,13.46
leukemia,ER_beta,449.5,3.78,12.41
adhd,GLP-1R,434.9,4.19,10.72
esophageal_cancer,GIPR,531.7,3.92,14.65
adhd,p53,413.2,1.92,13.62
obesity,EGF,400.9,3.2,8.54
stroke,TIGIT,493.7,0.83,11.53
anxiety,TIM3,449.4,3.16,11.22
depression,TIM3,427.8,4.29,12.92
multiple_sclerosis,HER3,483.7,4.31,11.82
pneumonia,BCR-ABL,432.7,3.94,10.37
breast_cancer,CD47,580.8,4.31,11.3
sepsis,GABA_B,362.6,2.75,7.89
huntingtons,GR,422.4,3.49,10.56
kidney_disease,TGF_beta,504.9,2.16,11.36
insomnia,ER_alpha,455.4,0.98,10.4
sepsis,HER4,565.4,2.49,7.71
malaria,SGLT2,454.5,2.69,12.12
kidney_disease,PD-1,541.7,0.16,10.37
thyroid_cancer,NTRK,448.7,2.89,10.85
bipolar_disorder,CDK6,413.7,4.73,15.26
hepatitis_b,GPC3,379.0,3.77,10.23
lupus,CEA,478.5,4.26,12.28
lupus,TNF_alpha,396.6,2.27,11.73
liver_disease,5-HT1A,537.7,3.43,9.74
coronary_artery_disease,CDK6,326.4,2.46,9.76
sepsis,NF-kB,480.9,3.84,7.12
hepatitis_c,SGLT2,395.7,0.09,9.12
arthritis,ROS1,491.9,1.78,10.72
prostate_cancer,CD33,288.6,0.17,13.27
prostate_cancer,RAS,515.1,3.13,16.35
coronary_artery_disease,5-HT2A,431.9,4.39,10.0
myocardial_infarction,NMDA,501.0,4.62,12.92
bipolar_disorder,c-MET,338.6,2.97,11.41
influenza,PD-1,320.7,2.77,8.52
ulcerative_colitis,ERK,430.1,3.63,9.96
pancreatic_cancer,MR,453.6,3.62,14.97
stomach_cancer,SGLT2,506.3,5.15,15.99
colorectal_cancer,GCGR,424.8,2.06,12.22
osteoporosis,PDGFR,469.7,2.2,8.25
influenza,GLP-1R,568.6,2.72,11.03
melanoma,CDK4,404.8,2.53,11.45
als,AMPA,507.5,2.84,9.68
stomach_cancer,5-HT2A,398.7,4.67,14.24
bipolar_disorder,GCGR,381.5,3.04,10.16
depression,RAS,502.2,1.37,9.97
obesity,FGF,488.4,1.94,9.28
coronary_artery_disease,FGF,515.8,2.04,10.5
influenza,CD19,505.4,4.11,8.66
gout,CTLA-4,518.9,3.25,11.06
breast_cancer,LAG3,431.5,2.42,14.05
copd,NOTCH,567.7,2.3,14.26
arthritis,CD30,367.0,3.67,9.92
kidney_disease,HIF,386.3,2.05,8.71
myocardial_infarction,AMPA,334.5,2.52,11.9
psoriasis,TOP1,443.4,3.24,9.76
thyroid_cancer,NF-kB,526.1,3.53,11.13
breast_cancer,IL-17,434.7,2.8,14.01
pancreatic_cancer,GR,490.8,4.27,13.44
schizophrenia,IL-13,460.1,2.53,13.67
esophageal_cancer,IGF1R,370.6,1.55,11.71
stroke,NF-kB,503.3,3.58,11.05
pneumonia,CDK6,496.2,2.87,7.12
brain_cancer,JAK,562.6,2.52,14.38
cervical_cancer,IL-6,526.4,2.96,10.66
copd,5-HT1A,401.3,3.59,8.93
bladder_cancer,CD30,482.8,3.36,12.74
influenza,ROS1,456.5,2.96,9.43
kidney_disease,CD20,641.1,4.18,13.47
influenza,HIF,507.8,3.11,7.63
pneumonia,EGFR,530.6,3.52,7.78
myocardial_infarction,CD38,452.1,2.7,10.05
adhd,LAG3,443.5,-0.17,14.55
influenza,VEGFPARP,466.8,2.51,10.45
lupus,IL-1,577.4,3.02,10.02
malaria,CD20,354.9,2.95,8.79
stroke,JAK,366.3,3.47,11.48
parkinsons,CD22,473.3,3.96,12.23
adhd,p53,386.7,3.03,11.4
osteoporosis,CDK4,340.8,3.7,10.53
asthma,NF-kB,491.5,3.5,10.26
schizophrenia,TOP2,450.1,3.41,13.44
adhd,ER_alpha,578.3,2.71,9.38
lupus,D2,461.1,1.91,10.94
lung_cancer,GR,380.5,3.1,10.54
colon_cancer,5-HT2A,538.3,2.74,12.88
alzheimers,AP-1,431.1,2.59,11.63
crohns_disease,GLP-1R,407.2,3.29,12.24
cardiomyopathy,DNMT,330.2,4.28,9.55
stomach_cancer,PD-L1,396.8,3.72,13.77
ovarian_cancer,AP-1,348.4,3.67,11.36
hyperlipidemia,IGF1R,503.8,3.38,6.95
obesity,GCGR,370.4,3.25,10.57
stomach_cancer,CD33,355.4,2.75,14.96
heart_failure,BCR-ABL,532.4,3.8,9.92
als,CD33,451.2,2.03,11.6
insomnia,CD19,501.6,3.02,12.35
lupus,CEA,264.4,3.78,11.43
sepsis,TOP2,448.1,4.2,9.26
autism,CTLA-4,362.4,-0.18,14.56
kidney_disease,FGFR,472.3,3.29,10.71
fibromyalgia,ER_alpha,314.7,2.02,6.8
arthritis,CD33,670.4,2.69,12.76
liver_cancer,ALK,508.5,2.35,13.62
coronary_artery_disease,IL-1,282.8,2.83,11.62
atherosclerosis,ALK,428.8,2.6,10.97
depression,5-HT1A,440.8,3.26,11.96
ulcerative_colitis,ALK,438.0,1.74,10.03
malaria,HER3,488.9,1.05,8.99
gout,HER3,286.0,3.74,7.3
crohns_disease,IL-23,490.6,2.94,11.71
celiac_disease,EGF,338.4,2.29,9.38
colorectal_cancer,IL-23,429.0,1.4,13.57
type1_diabetes,c-MET,390.9,3.65,9.9
alzheimers,STAT,564.2,2.58,10.03
parkinsons,GPC3,510.5,1.09,10.55
thyroid_cancer,ER_beta,502.8,2.2,11.4
alzheimers,ER_beta,474.6,2.75,8.93
hyperlipidemia,BCR-ABL,555.6,2.13,12.51
chronic_pain,PI3K,500.2,2.72,8.25
kidney_disease,MYC,437.3,2.82,11.81
alzheimers,RET,382.3,2.99,11.9
melanoma,5-HT2A,445.0,3.24,10.02
leukemia,GPC3,456.8,3.8,10.8
adhd,TOP2,523.9,1.95,12.83
gout,NMDA,519.5,1.81,6.92
crohns_disease,PDGFR,497.0,3.62,9.53
cervical_cancer,IL-6,297.1,3.09,9.72
alzheimers,AP-1,412.5,2.24,11.05
hepatitis_c,CDK6,558.1,2.35,7.19
stroke,CEA,385.5,3.08,10.97
coronary_artery_disease,HER4,504.8,2.86,9.72
obesity,LAG3,543.3,3.53,10.34
asthma,VEGFR,275.7,2.47,10.41
hyperlipidemia,RAS,405.1,3.48,11.16
multiple_sclerosis,RET,240.0,5.55,10.15
influenza,AKT,492.5,3.15,9.42
asthma,NMDA,544.5,5.34,12.11
type2_diabetes,p53,519.7,3.95,12.28
cardiomyopathy,mTOR,460.5,2.86,8.36
hypertension,TOP1,411.9,2.17,10.98
hiv_aids,OX40,395.0,1.65,10.56
stroke,AP-1,443.9,1.32,9.5
sepsis,BCR-ABL,465.3,2.96,11.69
cervical_cancer,CD33,461.8,2.48,12.29
pancreatic_cancer,AR,696.1,4.36,14.52
pancreatic_cancer,PD-1,350.4,3.23,10.73
copd,BCMA,401.4,1.99,11.71
hiv_aids,D2,342.8,3.43,10.45
depression,NF-kB,395.5,3.97,12.73
stroke,CTLA-4,529.5,4.37,12.05
pneumonia,AP-1,381.8,3.48,7.4
autism,c-MET,500.6,2.53,11.6
cervical_cancer,NTRK,388.3,4.61,11.78
bipolar_disorder,mTOR,468.2,3.64,12.36
esophageal_cancer,TNF_alpha,384.2,1.78,12.0
fibromyalgia,JAK,404.4,2.88,8.82
prostate_cancer,STAT,364.9,2.99,13.11
heart_failure,FGF,314.9,1.88,11.19
type2_diabetes,IL-4,503.7,3.6,7.52
obesity,ERK,418.6,1.98,7.92
multiple_sclerosis,MEK,367.8,2.63,11.99
cardiomyopathy,TIGIT,501.6,3.93,10.51
gout,IL-6,410.3,1.85,10.45
colon_cancer,CD20,471.4,2.18,11.45
liver_cancer,IGF1R,408.5,4.33,12.7
coronary_artery_disease,PD-L1,516.2,3.16,10.69
atherosclerosis,PD-L1,348.2,3.21,11.16
hiv_aids,PI3K,535.0,2.62,10.06
alzheimers,GCGR,558.1,4.29,9.24
thyroid_cancer,IL-6,583.1,3.31,11.08
asthma,TOP2,497.0,4.41,10.36
thyroid_cancer,IL-4,485.8,2.5,12.55
psoriasis,TIM3,414.1,3.24,14.27
sepsis,GLP-1R,346.8,2.86,8.59
bipolar_disorder,TOP1,537.7,0.81,12.6
type2_diabetes,PD-1,572.8,4.12,10.78
malaria,SGLT2,413.2,3.54,8.0
depression,CTLA-4,450.3,4.23,13.21
celiac_disease,ROS1,528.6,1.6,9.6
liver_disease,TOP1,497.0,2.79,10.6
lymphoma,GABA_A,456.6,2.27,12.82
chronic_pain,ER_beta,589.9,4.04,7.62
leukemia,EGF,390.8,1.67,10.96
hepatitis_c,PR,419.1,3.43,10.54
influenza,5-HT2A,469.2,4.25,9.89
malaria,HER4,513.2,3.97,8.37
ulcerative_colitis,NTRK,476.1,1.61,9.63
pneumonia,CTLA-4,434.3,4.06,10.43
depression,D2,445.9,3.5,12.4
autism,ERK,424.5,1.97,10.56
crohns_disease,GR,440.1,3.31,12.23
liver_disease,RET,397.5,2.76,9.5
epilepsy,CD30,374.8,4.12,12.28
hiv_aids,CD30,426.4,4.45,9.71
cardiomyopathy,LAG3,572.3,2.92,12.92
influenza,CEA,369.3,0.91,9.84
rheumatoid_arthritis,TNF_alpha,332.2,1.63,11.37
osteoporosis,NOTCH,560.3,3.12,11.36
hiv_aids,LAG3,481.2,0.78,9.75
bipolar_disorder,p53,354.2,3.89,13.32
ovarian_cancer,PD-L1,472.9,2.85,14.1
multiple_sclerosis,PD-L1,495.2,4.64,15.24
prostate_cancer,p53,432.3,3.07,14.62
atherosclerosis,MR,465.4,5.39,9.62
gout,LAG3,282.1,3.68,10.88
migraine,CD30,440.8,3.57,11.05
crohns_disease,PD-L1,397.4,2.95,14.28
arthritis,NMDA,506.9,6.11,11.2
epilepsy,BCMA,514.6,2.15,14.85
sepsis,TIM3,416.1,2.55,11.67
malaria,c-MET,306.3,2.67,10.53
kidney_cancer,BCMA,508.6,1.73,13.36
depression,FGF,533.9,3.49,10.19
kidney_disease,GIPR,391.3,2.86,11.44
osteoporosis,DNMT,577.9,3.73,10.11
adhd,CD38,450.7,2.76,10.64
hepatitis_b,BRAF,456.1,2.49,9.71
lung_cancer,p53,281.6,5.04,11.84
hepatitis_b,ERK,462.4,3.4,10.32
myocardial_infarction,BTK,445.4,2.26,8.72
thyroid_cancer,CD38,435.1,1.4,11.38
gout,MR,632.2,1.77,9.95
rheumatoid_arthritis,GPC3,367.4,2.56,9.51
brain_cancer,BTK,553.0,3.01,10.63
esophageal_cancer,CD47,351.1,4.25,11.11
kidney_cancer,TGF_beta,508.5,3.54,9.83
insomnia,HER2,507.3,5.39,8.24
obesity,c-MET,624.8,2.31,12.31
parkinsons,BCMA,579.9,3.38,10.97
myocardial_infarction,GCGR,489.9,1.31,11.36
myocardial_infarction,TNF_alpha,436.4,2.19,9.04
colorectal_cancer,NOTCH,516.2,4.07,13.52
rheumatoid_arthritis,CD19,284.0,2.98,10.86
atherosclerosis,MYC,539.7,2.81,10.31
pneumonia,AP-1,508.3,3.35,9.23
melanoma,IL-13,477.3,2.73,9.63
kidney_disease,JAK,352.7,1.88,10.53
kidney_cancer,AMPA,506.7,3.02,14.4
leukemia,IL-6,438.9,2.58,11.42
chronic_pain,PR,425.6,4.05,11.23
anxiety,CD33,423.2,1.66,9.9
tuberculosis,GR,509.5,2.8,8.49
lymphoma,CD33,452.5,4.61,14.15
anxiety,IGF1R,448.4,3.29,11.3
rheumatoid_arthritis,BCR-ABL,355.7,2.78,13.35
bladder_cancer,IL-23,498.8,1.44,10.9
celiac_disease,IL-23,466.1,3.1,10.47
fibromyalgia,IL-17,453.3,4.04,11.41
ovarian_cancer,DNMT,476.8,4.48,11.87
lupus,ALK,370.5,3.14,12.2
breast_cancer,PDGFR,456.8,1.93,13.76
bipolar_disorder,EGFR,526.5,5.32,14.29
myocardial_infarction,AR,448.6,3.51,11.13
hiv_aids,PDGFR,456.8,2.29,7.7
autism,GLP-1R,304.3,2.29,11.09
schizophrenia,MR,338.6,4.7,12.64
kidney_disease,CTLA-4,440.8,2.65,12.19
covid_19,mTOR,521.1,1.88,10.12
melanoma,ERK,388.7,3.07,13.4
crohns_disease,CDK4,532.3,3.5,12.91
osteoporosis,OX40,469.9,3.08,9.46
lymphoma,PI3K,482.0,3.2,11.99
brain_cancer,TGF_beta,367.6,3.05,13.21
pancreatic_cancer,NMDA,364.1,3.08,10.94
gout,BTK,411.5,5.54,7.62
obesity,GCGR,446.8,1.6,10.39
arthritis,JAK,439.3,3.52,11.39
ovarian_cancer,FGF,583.9,2.41,10.29
huntingtons,CDK6,323.4,3.82,9.3
heart_failure,CD19,339.6,2.56,10.39
influenza,HER4,429.4,2.93,10.56
insomnia,OX40,505.1,2.32,9.73
lupus,IGF1R,428.1,2.99,9.07
prostate_cancer,NOTCH,462.0,3.1,14.3
lymphoma,TOP2,484.9,3.84,8.91
gout,FGF,481.4,3.45,7.93
stomach_cancer,HER3,323.4,3.05,12.71
anxiety,p53,488.4,3.73,12.76
huntingtons,BCMA,394.6,2.34,15.65
pneumonia,IL-23,404.1,3.54,10.5
myocardial_infarction,AR,532.7,2.59,12.53
obesity,HER3,522.6,3.12,8.29
hepatitis_b,IL-4,440.1,2.79,9.39
celiac_disease,HDAC,509.7,3.33,12.78
covid_19,GCGR,632.1,2.15,12.42
colon_cancer,IL-17,491.4,2.47,10.22
atherosclerosis,AP-1,380.5,2.99,10.95
sepsis,IL-13,461.0,5.92,10.76
osteoporosis,BRAF,435.3,1.87,8.77
hepatitis_b,FGFR,471.8,0.93,9.57
chronic_pain,GIPR,442.6,3.02,8.64
alzheimers,AR,513.6,3.97,11.71
heart_failure,HIF,409.7,2.85,10.0
cardiomyopathy,MEK,388.7,1.87,9.6
cervical_cancer,GABA_A,474.8,1.73,12.32
pancreatic_cancer,NTRK,416.8,2.0,12.09
bladder_cancer,CD38,494.0,4.8,14.37
heart_failure,DNMT,345.9,1.15,9.06
lupus,HGF,440.0,3.02,12.56
myocardial_infarction,CD19,467.5,2.55,10.94
heart_failure,ERK,433.9,3.37,9.71
hepatitis_b,ERK,533.2,1.04,9.4
depression,PD-L1,420.5,3.21,14.54
ovarian_cancer,AKT,376.6,4.73,15.08
type2_diabetes,GCGR,399.2,2.96,10.21
kidney_disease,FGF,494.5,2.41,9.15
esophageal_cancer,ER_alpha,302.3,2.57,9.32
heart_failure,VEGFPARP,532.4,2.66,12.38
cardiomyopathy,Wnt,382.3,3.93,11.98
esophageal_cancer,GPC3,423.5,2.49,12.43
hepatitis_c,CDK4,462.0,3.77,8.73
chronic_pain,HER4,640.5,3.83,11.24
migraine,CD22,542.8,2.49,12.23
pneumonia,AP-1,367.9,3.06,6.75
breast_cancer,EGF,458.6,1.92,10.71
hyperlipidemia,AR,436.0,3.4,7.25
ulcerative_colitis,CEA,478.8,3.5,13.39
hepatitis_b,CD47,473.3,2.49,7.35
atherosclerosis,GABA_A,408.9,1.8,8.54
covid_19,ROS1,592.8,3.01,10.31
melanoma,HER3,432.0,2.07,13.4
stomach_cancer,CDK6,684.9,1.93,13.42
stomach_cancer,HER2,415.7,3.42,13.27
stomach_cancer,MEK,498.0,3.96,13.94
ulcerative_colitis,BRD4,594.6,3.51,10.53
esophageal_cancer,BTK,365.5,2.74,10.6
epilepsy,HDAC,474.6,5.07,9.68
asthma,STAT,338.2,4.2,10.48
asthma,OX40,464.4,3.84,11.05
kidney_cancer,GCGR,441.8,2.16,9.8
cardiomyopathy,LAG3,510.1,3.65,11.05
thyroid_cancer,ALK,527.8,2.99,11.88
epilepsy,ERK,402.0,1.44,11.05
hepatitis_b,TNF_alpha,515.5,3.42,9.5
type1_diabetes,PD-1,372.7,2.46,12.26
huntingtons,OX40,412.7,1.52,11.0
type1_diabetes,IGF1R,384.6,1.87,11.62
covid_19,HER2,417.0,2.26,10.48
type2_diabetes,MYC,319.8,5.02,11.94
copd,ER_alpha,550.2,2.22,10.37
lupus,IL-4,471.8,3.42,12.9
ovarian_cancer,GPC3,545.3,2.18,12.21
hiv_aids,5-HT1A,537.4,2.45,10.02
gout,SGLT2,343.1,3.72,9.41
heart_failure,GR,553.3,5.59,10.84
myocardial_infarction,MEK,354.0,3.7,9.93
leukemia,HER3,417.2,3.78,11.06
prostate_cancer,GABA_B,332.4,1.74,10.62
epilepsy,JAK,387.9,3.08,11.44
coronary_artery_disease,GABA_A,398.7,3.66,11.26
lymphoma,c-MET,532.2,3.6,14.52
hypertension,PD-1,579.5,3.42,10.07
parkinsons,SGLT2,352.6,4.36,12.08
psoriasis,Hedgehog,401.6,3.91,12.73
insomnia,OX40,575.9,3.46,9.19
cervical_cancer,ER_alpha,330.3,2.08,11.98
als,HDAC,555.8,2.83,13.88
lupus,Wnt,456.4,3.76,15.88
ulcerative_colitis,JAK,505.7,3.28,13.95
epilepsy,BCR-ABL,433.3,2.69,13.62
prostate_cancer,CD30,518.6,3.55,12.04
crohns_disease,ROS1,429.4,4.08,11.87
schizophrenia,c-MET,439.7,2.15,11.87
depression,BRAF,389.3,2.02,11.09
multiple_sclerosis,Wnt,428.2,4.23,11.06
schizophrenia,CD30,385.6,3.19,11.45
cardiomyopathy,HIF,397.5,2.74,9.35
thyroid_cancer,CD19,329.2,2.78,13.67
hyperlipidemia,GLP-1R,434.5,3.54,9.17
alzheimers,BRAF,467.9,1.8,9.93
hepatitis_c,ROS1,536.7,3.21,8.89
covid_19,Hedgehog,465.9,2.99,10.28
depression,5-HT2A,408.6,3.22,10.6
coronary_artery_disease,BCR-ABL,488.0,1.25,10.42
crohns_disease,IL-13,406.9,2.75,11.09
hyperlipidemia,IL-13,470.5,4.19,6.92
myocardial_infarction,CD33,388.3,2.5,10.82
anxiety,CD33,409.0,2.2,12.15
kidney_cancer,mTOR,422.2,3.77,12.37
lymphoma,IL-6,365.7,3.43,10.65
type2_diabetes,GPC3,313.8,2.44,7.6
kidney_cancer,IL-17,423.6,4.67,13.61
brain_cancer,HDAC,428.0,0.8,12.54
migraine,IGF1R,290.1,3.03,12.06
multiple_sclerosis,AMPA,499.1,3.38,8.62
heart_failure,AKT,463.4,4.16,9.75
osteoporosis,HER3,406.8,3.89,8.58
hepatitis_c,IL-13,319.4,2.1,6.87
kidney_disease,EGFR,305.4,2.73,9.58
fibromyalgia,CDK4,446.3,3.11,9.1
lung_cancer,Hedgehog,455.0,2.07,14.75
coronary_artery_disease,STAT,434.8,1.5,10.68
cardiomyopathy,CD33,559.1,2.7,11.44
anxiety,D2,410.9,4.59,10.69
hiv_aids,HDAC,350.6,1.87,8.62
alzheimers,STAT,362.3,2.93,12.36
parkinsons,BCR-ABL,484.5,3.74,13.57
huntingtons,DNMT,655.8,0.75,12.67
liver_disease,AR,498.7,2.44,10.82
osteoporosis,MYC,403.1,2.38,11.45
als,ALK,377.3,4.68,13.81
breast_cancer,TIGIT,517.4,3.02,15.34
coronary_artery_disease,NTRK,558.1,1.49,7.82
atherosclerosis,GLP-1R,343.5,0.82,11.4
adhd,VEGFR,394.0,3.16,12.21
alzheimers,PI3K,458.2,3.15,13.55
colorectal_cancer,NMDA,337.1,3.8,9.5
schizophrenia,TIM3,469.2,3.73,10.8
parkinsons,c-MET,298.6,3.31,10.24
sepsis,MR,355.0,2.6,8.74
liver_cancer,TIGIT,492.7,3.09,14.4
schizophrenia,JAK,381.9,3.01,9.41
ovarian_cancer,FGF,327.5,4.15,12.51
epilepsy,FGFR,433.6,4.12,9.59
asthma,IL-4,407.9,2.48,8.88
obesity,IL-13,388.9,3.88,9.54
hepatitis_b,CDK6,393.2,3.64,10.13
bipolar_disorder,BRAF,419.4,1.02,12.88
hepatitis_b,CEA,404.4,1.82,10.91
colon_cancer,CD38,452.7,1.81,14.1
arrhythmia,PDGFR,524.1,2.91,9.96
hypertension,RAS,435.8,3.66,11.66
colon_cancer,HDAC,527.1,2.98,13.85
melanoma,TNF_alpha,388.3,1.23,12.56
huntingtons,IL-13,395.1,2.38,11.02
ulcerative_colitis,GABA_A,458.6,2.65,10.48
osteoporosis,IL-6,505.0,2.39,9.84
hepatitis_b,BRD4,445.4,4.18,7.28
atherosclerosis,EGFR,477.3,2.94,12.23
lymphoma,GABA_B,401.8,2.37,10.82
migraine,GR,382.0,2.46,10.22
atherosclerosis,HER4,510.5,2.78,7.78
alzheimers,BTK,342.0,4.77,12.9
celiac_disease,AP-1,475.6,1.59,10.88
gout,ER_alpha,414.7,3.11,8.03
copd,Wnt,586.4,1.89,11.51
pancreatic_cancer,GABA_B,528.1,4.4,11.11
gout,IL-23,399.7,2.72,10.28
type1_diabetes,GABA_A,367.1,2.8,13.7
brain_cancer,NMDA,447.1,3.66,10.29
leukemia,5-HT2A,537.2,2.25,11.67
asthma,VEGFR,292.6,2.98,8.89
covid_19,DNMT,473.5,3.25,10.12
colorectal_cancer,TNF_alpha,423.9,3.12,11.98
gout,IL-23,571.2,3.38,10.19
chronic_pain,GABA_A,420.1,2.5,8.63
coronary_artery_disease,PDGFR,436.4,4.64,9.45
heart_failure,ALK,435.3,2.98,8.78
lung_cancer,AR,411.4,4.1,14.38
hyperlipidemia,PDGFR,606.8,3.45,10.47
liver_disease,TOP2,456.6,3.04,11.29
melanoma,NTRK,259.3,3.75,9.52
colorectal_cancer,GCGR,460.7,3.43,12.58
insomnia,ER_alpha,393.1,2.62,9.99
asthma,VEGFR,417.1,4.02,9.2
tuberculosis,c-MET,419.7,5.08,8.75
hiv_aids,TNF_alpha,484.5,1.72,10.8
thyroid_cancer,HER4,439.7,2.35,11.23
covid_19,AP-1,274.4,4.6,11.6
stroke,HGF,506.3,3.53,9.74
epilepsy,STAT,463.2,1.62,9.57
breast_cancer,ER_alpha,411.3,3.84,10.38
schizophrenia,HGF,365.9,0.47,12.14
als,AMPA,431.8,2.86,11.95
copd,DNMT,460.8,3.73,8.24
stomach_cancer,BRAF,501.0,3.26,12.96
liver_cancer,AMPA,545.6,1.48,13.13
als,Hedgehog,490.4,3.63,13.93
autism,MR,350.8,1.5,9.91
osteoporosis,HER4,390.3,2.34,7.37
covid_19,MYC,510.3,2.39,12.95
fibromyalgia,MR,381.5,2.39,10.94
coronary_artery_disease,PD-1,539.5,3.01,10.1
stomach_cancer,GIPR,435.7,2.89,12.61
hypertension,HIF,553.4,2.25,7.85
depression,5-HT1A,555.2,3.21,12.36
crohns_disease,CD22,437.2,5.5,16.09
colon_cancer,NMDA,365.5,2.65,12.55
chronic_pain,p53,351.4,3.95,11.58
schizophrenia,OX40,585.1,4.67,12.4
migraine,FGF,547.9,2.8,10.29
ulcerative_colitis,IL-6,420.8,1.33,11.76
atherosclerosis,p53,612.9,3.47,14.25
