indication,target,molecular_weight,logP,toxicity_label
lymphoma,PD1,357.445,3.323,0
migraine,PD-L1,445.519,3.253,0
copd,EGFR,490.073,2.018,1
obesity,BRAF,394.217,3.243,1
schizophrenia,ALK,324.286,2.068,0
prostate_cancer,HER2,530.295,2.697,1
colon_cancer,PD-L1,511.311,2.586,1
type2_diabetes,PD1,319.621,3.556,0
copd,EGFR,450.974,2.907,0
schizophrenia,mTOR,539.471,1.631,1
lung_cancer,TNF_alpha,534.004,3.325,0
prostate_cancer,GIPR,227.168,4.098,0
type2_diabetes,GLP-1R,606.249,3.687,1
lymphoma,BRAF,488.857,4.609,0
melanoma,PD1,468.898,2.061,0
obesity,BRAF,439.44,2.212,0
colorectal_cancer,PD1,546.465,2.063,0
psoriasis,PD-1,544.119,2.228,1
ovarian_cancer,GIPR,514.056,5.06,0
obesity,PD-1,375.268,4.481,1
asthma,IL-6,477.434,4.243,1
depression,PD-1,402.254,1.892,0
rheumatoid_arthritis,EGFR,461.046,1.114,0
rheumatoid_arthritis,ALK,591.547,3.2,1
lymphoma,GIPR,333.16,4.191,0
ovarian_cancer,EGFR,444.792,5.723,1
colon_cancer,D2,379.801,1.593,0
breast_cancer,GLP-1R,349.358,3.879,1
copd,IL-6,295.203,2.851,0
asthma,NMDA,537.723,0.987,0
colorectal_cancer,IL-6,555.126,2.051,1
rheumatoid_arthritis,TNF_alpha,436.307,4.247,1
asthma,NMDA,382.761,3.687,0
lung_cancer,mTOR,426.15,1.348,0
lung_cancer,GIPR,557.374,1.066,1
type2_diabetes,HER2,556.911,3.07,1
schizophrenia,EGFR,444.052,2.815,1
asthma,PD-L1,392.78,2.306,0
type2_diabetes,ALK,407.76,4.353,1
melanoma,GABA_A,317.847,2.761,0
breast_cancer,IL-6,474.778,3.476,1
lung_cancer,HER2,266.485,3.303,1
breast_cancer,SGLT2,504.925,3.741,1
asthma,BRAF,401.682,1.899,0
prostate_cancer,HER2,543.419,2.225,0
ovarian_cancer,D2,426.995,1.97,1
asthma,IL-6,493.845,1.661,0
prostate_cancer,GLP-1R,448.233,2.218,0
prostate_cancer,VEGF,536.818,3.039,0
colorectal_cancer,NMDA,544.917,1.109,1
schizophrenia,mTOR,544.966,2.035,0
colon_cancer,GABA_A,389.321,2.554,0
lung_cancer,VEGF,508.382,2.069,1
rheumatoid_arthritis,mTOR,650.6,4.74,1
asthma,ALK,427.348,0.975,0
lymphoma,VEGF,617.02,2.574,1
migraine,NMDA,486.012,2.896,0
schizophrenia,PD-L1,575.996,3.759,1
depression,5-HT1A,515.062,2.156,0
ovarian_cancer,PD-1,520.135,2.266,1
ovarian_cancer,IL-6,348.371,4.155,1
lymphoma,VEGF,339.794,4.7,0
melanoma,ALK,451.12,3.564,1
melanoma,PD-L1,308.38,1.913,0
asthma,mTOR,538.537,0.725,0
melanoma,GLP-1R,360.332,2.991,0
copd,NMDA,445.408,2.949,1
prostate_cancer,EGFR,581.144,4.079,1
colon_cancer,PD-L1,469.609,3.727,1
type2_diabetes,GLP-1R,482.313,2.885,0
psoriasis,GLP-1R,429.436,3.278,0
copd,PD1,370.247,2.067,0
migraine,NMDA,381.694,2.357,0
rheumatoid_arthritis,mTOR,473.35,4.378,0
copd,GIPR,296.612,1.529,0
copd,mTOR,545.227,4.037,1
lung_cancer,EGFR,507.533,4.82,1
migraine,VEGF,618.413,1.79,0
copd,PD1,608.691,3.012,1
copd,GABA_A,516.691,3.169,1
obesity,BRAF,438.229,2.343,0
colorectal_cancer,GABA_A,484.677,0.994,1
obesity,EGFR,464.64,2.166,1
asthma,NMDA,488.427,2.719,1
psoriasis,PD1,522.397,2.774,0
migraine,SGLT2,436.069,4.714,0
melanoma,EGFR,443.393,3.77,1
lung_cancer,D2,443.518,2.978,0
copd,GABA_A,607.353,2.961,0
asthma,HER2,537.183,4.073,1
lymphoma,GLP-1R,519.075,2.984,0
lymphoma,5-HT1A,338.91,2.77,0
ovarian_cancer,BRAF,459.779,2.581,0
schizophrenia,EGFR,532.289,2.256,0
type2_diabetes,TNF_alpha,397.118,2.485,1
ovarian_cancer,GABA_A,439.275,1.927,0
prostate_cancer,TNF_alpha,531.731,4.436,1
schizophrenia,EGFR,446.65,2.906,0
depression,GIPR,413.98,2.244,0
lymphoma,ALK,616.91,3.279,0
psoriasis,5-HT1A,375.742,4.243,0
melanoma,PD1,416.234,3.036,0
lymphoma,GIPR,500.826,2.882,0
lung_cancer,BRAF,506.182,4.47,1
depression,SGLT2,339.949,2.526,0
schizophrenia,NMDA,592.662,5.273,1
rheumatoid_arthritis,GLP-1R,469.344,3.301,1
psoriasis,PD-L1,428.288,2.536,0
breast_cancer,PD-L1,451.444,4.211,1
obesity,PD-L1,417.012,2.399,1
type2_diabetes,ALK,413.896,1.982,0
type2_diabetes,D2,555.959,2.045,0
rheumatoid_arthritis,SGLT2,376.762,3.126,0
breast_cancer,GLP-1R,566.007,1.73,1
type2_diabetes,mTOR,474.491,2.769,0
prostate_cancer,ALK,347.739,2.713,1
prostate_cancer,VEGF,389.226,3.664,0
breast_cancer,GIPR,497.672,3.943,1
migraine,SGLT2,588.237,2.531,0
prostate_cancer,IL-6,494.979,1.776,1
migraine,SGLT2,418.525,1.091,0
depression,PD1,546.409,3.146,1
migraine,ALK,495.796,3.397,1
type2_diabetes,EGFR,517.668,2.658,0
rheumatoid_arthritis,SGLT2,424.713,3.314,1
colon_cancer,VEGF,466.925,4.968,1
colorectal_cancer,GABA_A,345.378,2.655,0
copd,PD-L1,712.112,3.54,1
psoriasis,NMDA,480.508,4.366,1
rheumatoid_arthritis,5-HT1A,515.298,1.941,0
depression,SGLT2,419.96,3.699,0
lung_cancer,SGLT2,503.739,1.285,0
colon_cancer,HER2,534.177,3.097,1
obesity,GABA_A,427.927,1.294,0
colorectal_cancer,BRAF,512.562,2.088,0
colorectal_cancer,SGLT2,378.267,-0.031,0
ovarian_cancer,BRAF,359.266,4.029,1
type2_diabetes,PD-L1,380.799,2.483,0
type2_diabetes,GABA_A,466.191,1.443,0
prostate_cancer,mTOR,351.7,3.03,0
prostate_cancer,ALK,413.92,3.294,0
depression,NMDA,462.734,2.304,0
copd,GABA_A,591.193,5.792,1
copd,GABA_A,626.681,4.306,1
breast_cancer,PD1,512.098,2.516,0
migraine,IL-6,482.066,3.408,0
rheumatoid_arthritis,IL-6,364.932,4.022,0
depression,D2,533.8,2.054,0
copd,GIPR,400.658,1.652,0
asthma,HER2,372.649,4.182,1
asthma,SGLT2,618.904,2.139,0
schizophrenia,TNF_alpha,477.203,2.706,0
asthma,TNF_alpha,525.851,2.694,1
lymphoma,GIPR,553.11,1.889,0
schizophrenia,SGLT2,442.373,4.73,1
psoriasis,SGLT2,452.126,3.894,0
colon_cancer,5-HT1A,603.489,2.647,1
lymphoma,mTOR,421.178,3.623,0
melanoma,mTOR,422.975,2.373,0
lung_cancer,ALK,451.801,0.722,0
depression,EGFR,365.263,2.5,0
breast_cancer,PD-1,416.281,-0.216,0
breast_cancer,EGFR,588.056,3.122,1
breast_cancer,IL-6,435.207,3.65,1
obesity,BRAF,466.436,2.224,0
breast_cancer,D2,462.787,1.781,0
psoriasis,GABA_A,467.377,2.535,0
depression,IL-6,439.27,1.635,1
depression,SGLT2,259.68,3.67,0
ovarian_cancer,ALK,498.877,3.154,1
colon_cancer,IL-6,444.151,2.209,1
obesity,PD-1,435.119,3.589,1
prostate_cancer,BRAF,331.185,0.951,0
psoriasis,mTOR,349.998,3.372,0
colon_cancer,IL-6,415.484,0.88,0
schizophrenia,EGFR,447.361,2.483,1
colorectal_cancer,HER2,513.594,4.349,1
obesity,VEGF,604.308,3.047,1
psoriasis,VEGF,477.368,4.917,0
lung_cancer,GIPR,542.331,1.474,1
breast_cancer,D2,555.103,2.985,0
type2_diabetes,BRAF,438.777,2.475,0
schizophrenia,IL-6,527.796,3.873,0
psoriasis,NMDA,392.008,2.104,0
melanoma,VEGF,421.328,1.775,0
ovarian_cancer,EGFR,454.126,4.47,0
schizophrenia,VEGF,398.788,4.484,0
schizophrenia,TNF_alpha,446.601,0.642,0
depression,GLP-1R,405.046,1.571,0
migraine,GIPR,401.131,3.506,0
asthma,D2,545.138,3.667,1
asthma,SGLT2,333.696,2.968,0
colorectal_cancer,GIPR,366.862,3.818,1
psoriasis,PD1,483.706,3.808,1
breast_cancer,NMDA,382.28,3.608,0
ovarian_cancer,mTOR,436.051,2.323,0
lung_cancer,5-HT1A,324.161,1.947,0
lung_cancer,IL-6,363.21,2.636,1
melanoma,BRAF,474.453,2.269,0
migraine,IL-6,446.48,2.659,0
type2_diabetes,mTOR,468.836,-0.688,0
obesity,5-HT1A,424.34,2.046,0
colorectal_cancer,NMDA,463.024,4.495,1
obesity,PD-L1,398.525,2.094,0
asthma,GABA_A,385.751,2.268,0
lung_cancer,NMDA,501.783,3.091,0
obesity,TNF_alpha,538.139,3.492,1
schizophrenia,ALK,381.159,2.112,0
copd,TNF_alpha,535.834,2.147,0
copd,SGLT2,506.957,2.031,0
obesity,SGLT2,598.163,2.582,0
psoriasis,ALK,423.137,1.879,0
type2_diabetes,IL-6,284.53,3.089,1
obesity,mTOR,467.501,4.297,0
asthma,GIPR,370.222,1.941,0
obesity,PD-1,285.77,1.819,1
colon_cancer,EGFR,571.596,0.864,0
melanoma,5-HT1A,467.571,4.672,1
obesity,PD-L1,396.168,3.663,1
depression,PD-L1,404.174,4.117,1
depression,D2,449.674,2.959,0
migraine,NMDA,343.535,3.234,1
breast_cancer,HER2,382.92,2.258,0
psoriasis,BRAF,330.011,2.994,0
schizophrenia,GLP-1R,492.623,2.194,0
ovarian_cancer,SGLT2,593.819,2.684,1
migraine,GIPR,410.01,3.543,0
type2_diabetes,IL-6,433.832,4.653,1
depression,D2,499.469,4.456,1
ovarian_cancer,ALK,359.488,3.887,0
lung_cancer,BRAF,397.437,3.995,0
rheumatoid_arthritis,VEGF,434.365,3.546,0
asthma,TNF_alpha,576.07,2.952,0
type2_diabetes,EGFR,377.534,2.188,1
lung_cancer,NMDA,476.618,1.667,1
schizophrenia,VEGF,496.175,1.771,0
migraine,NMDA,392.875,4.178,0
copd,D2,558.965,2.636,0
type2_diabetes,EGFR,463.219,3.013,1
lung_cancer,ALK,326.298,4.324,0
rheumatoid_arthritis,PD-L1,479.812,3.166,1
type2_diabetes,D2,431.65,3.15,0
asthma,IL-6,417.667,3.002,0
breast_cancer,BRAF,422.427,3.012,0
obesity,SGLT2,666.827,3.52,1
breast_cancer,D2,365.569,4.799,1
type2_diabetes,IL-6,399.501,3.599,0
asthma,IL-6,501.337,4.884,1
lung_cancer,NMDA,508.386,4.392,1
lung_cancer,GIPR,369.87,3.087,0
migraine,HER2,514.802,2.275,1
obesity,SGLT2,513.757,4.633,0
colorectal_cancer,HER2,337.417,1.702,0
copd,GABA_A,514.452,4.134,0
melanoma,D2,567.428,2.97,0
asthma,mTOR,573.121,3.208,1
type2_diabetes,D2,521.308,2.796,0
lung_cancer,mTOR,515.674,2.088,0
ovarian_cancer,mTOR,533.205,1.981,0
obesity,HER2,538.495,2.704,0
copd,IL-6,458.639,5.607,1
lymphoma,GABA_A,535.842,3.219,0
colon_cancer,IL-6,459.118,2.207,0
obesity,mTOR,465.501,2.808,0
rheumatoid_arthritis,ALK,342.761,2.68,1
copd,5-HT1A,406.062,2.165,0
schizophrenia,ALK,383.312,2.32,0
colorectal_cancer,PD-L1,563.63,2.178,1
breast_cancer,BRAF,581.141,1.077,0
psoriasis,PD-L1,507.69,3.32,1
depression,SGLT2,403.684,2.104,0
ovarian_cancer,IL-6,528.11,3.931,0
obesity,GIPR,527.0,4.166,1
colon_cancer,SGLT2,368.723,2.633,0
copd,BRAF,434.511,3.745,1
rheumatoid_arthritis,D2,370.008,5.194,1
rheumatoid_arthritis,IL-6,427.924,2.638,0
rheumatoid_arthritis,TNF_alpha,315.528,2.5,1
lymphoma,GLP-1R,577.437,4.465,1
copd,HER2,440.592,2.127,1
ovarian_cancer,PD-L1,397.947,2.673,0
depression,NMDA,512.724,3.371,1
obesity,SGLT2,369.95,2.145,0
schizophrenia,5-HT1A,456.986,1.242,0
colon_cancer,TNF_alpha,614.336,3.148,1
colorectal_cancer,PD-1,395.067,2.488,0
schizophrenia,SGLT2,518.815,3.81,0
depression,IL-6,488.282,1.555,1
ovarian_cancer,EGFR,679.217,2.098,1
type2_diabetes,D2,586.717,3.519,0
prostate_cancer,D2,403.435,3.399,0
obesity,mTOR,442.887,2.311,0
colon_cancer,IL-6,552.847,2.943,1
rheumatoid_arthritis,PD-L1,336.738,4.301,1
psoriasis,GLP-1R,496.762,2.732,1
lymphoma,mTOR,298.449,3.63,0
depression,TNF_alpha,295.166,2.451,0
prostate_cancer,BRAF,434.957,3.16,1
obesity,GIPR,342.79,2.514,0
psoriasis,PD1,370.028,2.484,0
obesity,mTOR,539.011,2.929,0
lymphoma,GABA_A,550.408,3.687,1
colon_cancer,TNF_alpha,476.804,3.565,1
colorectal_cancer,SGLT2,453.21,0.908,0
obesity,mTOR,428.029,2.543,0
colorectal_cancer,SGLT2,474.06,3.768,0
depression,IL-6,349.475,4.289,1
prostate_cancer,BRAF,492.025,1.254,0
colorectal_cancer,PD-L1,475.098,1.515,1
obesity,TNF_alpha,343.244,3.595,0
breast_cancer,BRAF,436.028,4.36,1
lung_cancer,EGFR,505.22,0.504,0
asthma,EGFR,569.637,2.715,1
copd,SGLT2,359.886,2.146,0
migraine,PD-L1,334.486,3.445,0
rheumatoid_arthritis,GIPR,555.183,4.116,1
lung_cancer,NMDA,528.066,3.009,1
migraine,IL-6,490.722,4.154,1
psoriasis,PD-1,428.37,1.61,0
colon_cancer,5-HT1A,454.793,3.324,0
type2_diabetes,PD-L1,446.7,5.159,0
copd,IL-6,570.395,3.782,1
breast_cancer,PD-1,387.588,3.735,0
breast_cancer,5-HT1A,417.841,1.937,0
ovarian_cancer,D2,417.616,4.133,1
migraine,5-HT1A,374.47,3.806,0
lymphoma,PD1,456.393,3.321,1
prostate_cancer,NMDA,551.108,1.99,0
prostate_cancer,PD-L1,456.841,1.284,0
prostate_cancer,PD1,408.172,2.267,0
lung_cancer,GABA_A,444.171,4.889,0
schizophrenia,EGFR,386.117,3.222,1
lung_cancer,mTOR,475.981,3.581,0
prostate_cancer,PD-1,447.692,4.33,1
psoriasis,EGFR,581.117,3.908,1
migraine,EGFR,498.841,1.682,0
copd,5-HT1A,476.16,2.165,0
colon_cancer,5-HT1A,411.268,3.055,0
copd,TNF_alpha,436.21,3.715,1
psoriasis,EGFR,504.242,3.668,1
colon_cancer,EGFR,424.973,4.031,1
psoriasis,SGLT2,385.889,2.053,0
psoriasis,GABA_A,419.809,4.345,0
rheumatoid_arthritis,VEGF,474.919,2.792,0
psoriasis,mTOR,619.679,3.978,0
rheumatoid_arthritis,PD-L1,510.419,2.803,0
ovarian_cancer,GLP-1R,305.041,2.049,0
depression,PD1,550.461,0.183,0
asthma,TNF_alpha,319.99,3.083,0
lymphoma,VEGF,604.05,1.897,1
melanoma,PD1,423.871,4.985,0
ovarian_cancer,ALK,568.757,1.685,0
breast_cancer,TNF_alpha,433.813,2.817,1
ovarian_cancer,D2,429.166,3.371,1
schizophrenia,BRAF,526.254,3.789,0
copd,VEGF,460.118,1.419,0
melanoma,SGLT2,363.567,1.823,0
type2_diabetes,BRAF,499.078,2.373,0
type2_diabetes,BRAF,456.324,2.712,1
lymphoma,TNF_alpha,387.676,2.655,0
colon_cancer,mTOR,458.422,3.151,0
migraine,ALK,484.795,1.079,0
obesity,mTOR,543.153,3.926,1
asthma,TNF_alpha,594.824,3.399,1
rheumatoid_arthritis,VEGF,400.531,2.205,0
schizophrenia,NMDA,519.045,2.594,0
psoriasis,PD-1,478.724,4.334,1
migraine,IL-6,527.93,2.508,0
depression,ALK,333.299,3.235,0
migraine,HER2,358.562,2.109,1
breast_cancer,TNF_alpha,485.228,2.479,1
depression,ALK,502.834,2.853,0
migraine,5-HT1A,453.352,5.637,1
migraine,TNF_alpha,469.907,2.43,1
colon_cancer,EGFR,484.844,3.166,1
type2_diabetes,BRAF,447.049,2.416,0
melanoma,HER2,411.554,1.125,0
copd,HER2,478.558,2.95,0
melanoma,HER2,446.934,3.819,1
asthma,D2,414.069,4.063,0
depression,EGFR,309.451,1.731,1
rheumatoid_arthritis,PD-1,436.2,2.063,0
depression,HER2,368.867,3.339,1
lymphoma,TNF_alpha,435.408,5.025,1
depression,VEGF,423.321,3.885,0
breast_cancer,NMDA,433.798,3.175,1
colon_cancer,EGFR,520.321,2.054,1
copd,TNF_alpha,472.345,2.819,0
psoriasis,PD-L1,472.495,4.833,1
lymphoma,SGLT2,508.254,2.021,0
depression,GIPR,320.626,3.346,1
ovarian_cancer,ALK,410.464,1.518,0
melanoma,D2,536.76,2.975,0
breast_cancer,GABA_A,383.842,3.161,0
rheumatoid_arthritis,PD-L1,487.38,2.456,0
schizophrenia,IL-6,305.073,1.995,1
schizophrenia,mTOR,464.568,1.964,0
lymphoma,PD-L1,494.407,3.281,1
prostate_cancer,TNF_alpha,513.261,2.978,1
melanoma,EGFR,664.441,2.576,1
type2_diabetes,PD1,389.744,2.886,0
asthma,IL-6,385.345,2.751,0
rheumatoid_arthritis,PD-L1,412.34,4.121,1
obesity,VEGF,320.096,4.279,1
breast_cancer,D2,190.679,3.297,1
ovarian_cancer,PD1,343.758,2.973,0
melanoma,NMDA,494.593,3.632,1
melanoma,HER2,368.983,3.857,1
colorectal_cancer,HER2,444.333,3.091,0
prostate_cancer,SGLT2,617.816,3.597,0
lymphoma,GIPR,626.518,3.08,0
type2_diabetes,NMDA,346.261,2.968,0
depression,NMDA,418.124,2.553,1
asthma,5-HT1A,412.15,2.289,0
colon_cancer,5-HT1A,363.782,3.343,0
psoriasis,D2,395.341,3.742,0
type2_diabetes,D2,409.469,3.24,0
rheumatoid_arthritis,PD-1,344.311,3.251,0
lymphoma,IL-6,317.821,3.967,1
melanoma,GIPR,412.077,3.915,1
breast_cancer,5-HT1A,415.389,5.186,1
colon_cancer,ALK,338.919,2.108,0
lung_cancer,D2,286.43,2.421,0
colorectal_cancer,BRAF,496.843,3.431,1
copd,PD-L1,523.126,2.013,0
depression,D2,428.187,5.01,1
depression,HER2,436.09,4.339,1
migraine,SGLT2,437.98,2.959,0
colon_cancer,SGLT2,720.191,3.677,1
melanoma,PD1,362.304,1.11,0
obesity,HER2,459.195,4.427,1
depression,BRAF,477.325,3.394,0
melanoma,ALK,408.509,4.718,0
prostate_cancer,PD-L1,448.532,2.352,0
obesity,ALK,516.919,1.932,1
melanoma,HER2,463.713,3.587,0
depression,SGLT2,407.428,2.611,0
colon_cancer,TNF_alpha,458.672,1.737,1
lung_cancer,PD-L1,380.857,4.136,1
depression,TNF_alpha,328.363,0.792,0
colorectal_cancer,EGFR,369.674,3.944,0
psoriasis,GIPR,296.933,3.62,0
colorectal_cancer,SGLT2,442.93,5.211,1
melanoma,D2,583.34,3.307,1
breast_cancer,BRAF,607.926,3.377,1
colon_cancer,HER2,294.693,1.493,1
rheumatoid_arthritis,5-HT1A,392.274,3.139,1
schizophrenia,EGFR,460.276,2.409,0
asthma,ALK,398.707,2.735,0
prostate_cancer,HER2,372.844,2.949,0
copd,NMDA,519.114,3.769,1
prostate_cancer,5-HT1A,494.094,2.89,1
type2_diabetes,TNF_alpha,383.977,2.507,0
schizophrenia,PD1,565.464,1.13,0
prostate_cancer,BRAF,455.263,4.663,0
lymphoma,5-HT1A,415.691,3.808,1
prostate_cancer,TNF_alpha,437.194,2.757,0
colorectal_cancer,mTOR,513.035,3.461,0
ovarian_cancer,NMDA,462.011,3.712,1
migraine,PD-L1,411.84,3.811,1
breast_cancer,BRAF,461.902,2.829,0
ovarian_cancer,mTOR,448.824,3.26,0
obesity,BRAF,290.804,3.332,0
rheumatoid_arthritis,IL-6,455.92,3.097,0
lung_cancer,GABA_A,496.711,4.284,1
breast_cancer,PD-L1,498.967,2.581,1
lung_cancer,IL-6,625.476,3.956,0
prostate_cancer,D2,338.811,2.882,0
ovarian_cancer,TNF_alpha,502.419,3.257,1
colon_cancer,SGLT2,497.136,1.842,1
lung_cancer,EGFR,495.492,3.383,1
breast_cancer,GIPR,402.844,3.412,0
asthma,GLP-1R,469.969,0.559,1
schizophrenia,PD-L1,412.927,1.935,0
colon_cancer,mTOR,514.773,3.231,1
migraine,TNF_alpha,529.43,3.451,1
rheumatoid_arthritis,5-HT1A,459.874,1.542,0
breast_cancer,NMDA,383.758,3.717,0
breast_cancer,NMDA,481.673,2.883,0
breast_cancer,PD-L1,514.906,3.825,0
colorectal_cancer,GIPR,524.023,3.169,0
type2_diabetes,SGLT2,485.463,3.182,1
copd,GLP-1R,468.709,4.165,0
colon_cancer,ALK,441.157,3.708,0
copd,TNF_alpha,614.166,1.294,1
asthma,TNF_alpha,619.539,1.675,0
breast_cancer,GLP-1R,403.743,3.295,1
copd,5-HT1A,398.848,2.383,0
depression,ALK,472.982,3.944,0
migraine,D2,433.671,1.179,1
rheumatoid_arthritis,GABA_A,516.44,2.094,0
colon_cancer,D2,417.977,1.164,0
colorectal_cancer,TNF_alpha,399.052,3.741,1
lymphoma,BRAF,467.154,2.828,1
lung_cancer,PD1,448.07,3.511,1
obesity,PD-L1,358.433,2.531,0
obesity,D2,465.046,2.149,0
copd,NMDA,613.295,3.479,0
lung_cancer,ALK,309.56,3.454,1
depression,NMDA,512.29,1.878,0
colon_cancer,D2,530.584,3.023,0
melanoma,EGFR,320.279,1.66,0
psoriasis,GABA_A,486.671,1.895,0
ovarian_cancer,mTOR,484.892,3.599,0
depression,SGLT2,353.291,2.434,0
lymphoma,ALK,326.659,2.924,0
copd,D2,488.251,2.423,0
prostate_cancer,GABA_A,241.954,4.43,1
asthma,TNF_alpha,424.26,2.968,0
colon_cancer,5-HT1A,541.097,5.093,1
asthma,GABA_A,483.368,2.015,0
colon_cancer,IL-6,387.745,4.212,1
psoriasis,TNF_alpha,440.947,2.445,1
copd,GIPR,504.787,2.367,0
copd,HER2,307.61,4.064,1
type2_diabetes,SGLT2,394.949,5.433,1
psoriasis,GLP-1R,340.207,2.694,0
depression,ALK,512.335,3.659,0
depression,TNF_alpha,450.245,3.585,1
colon_cancer,IL-6,532.749,3.962,0
ovarian_cancer,PD1,375.81,4.288,1
asthma,mTOR,532.69,2.479,0
lymphoma,GIPR,410.403,1.984,0
colorectal_cancer,VEGF,547.898,2.298,0
colorectal_cancer,PD-1,530.83,2.554,0
type2_diabetes,GLP-1R,429.468,2.494,0
rheumatoid_arthritis,GIPR,488.405,4.383,1
melanoma,ALK,412.044,3.32,1
lung_cancer,D2,501.083,4.698,1
copd,TNF_alpha,373.646,3.641,0
schizophrenia,GABA_A,395.292,2.991,1
depression,ALK,481.222,2.266,0
breast_cancer,PD-1,456.502,4.179,1
migraine,GIPR,424.663,2.123,0
psoriasis,HER2,492.159,3.008,1
obesity,SGLT2,474.42,3.789,0
breast_cancer,D2,442.488,4.163,1
breast_cancer,mTOR,394.043,2.607,0
depression,GABA_A,524.241,3.208,1
asthma,TNF_alpha,450.117,2.326,0
type2_diabetes,D2,548.437,3.527,0
colon_cancer,GLP-1R,591.317,3.481,0
rheumatoid_arthritis,NMDA,482.831,4.215,1
psoriasis,GIPR,389.637,2.691,0
obesity,GLP-1R,269.537,3.431,0
colorectal_cancer,NMDA,550.735,4.805,1
lymphoma,D2,428.726,3.557,0
lymphoma,PD1,375.779,3.102,1
lung_cancer,PD-L1,394.032,2.791,0
lymphoma,BRAF,477.308,5.505,1
schizophrenia,TNF_alpha,442.32,2.802,1
breast_cancer,PD1,551.821,1.421,0
copd,GIPR,419.265,2.238,0
rheumatoid_arthritis,GABA_A,558.219,3.414,1
prostate_cancer,PD-1,336.292,4.752,1
copd,SGLT2,541.709,2.714,0
lung_cancer,PD-1,467.497,2.833,1
melanoma,GIPR,647.085,2.891,0
obesity,EGFR,505.496,4.584,1
breast_cancer,ALK,493.686,2.534,0
melanoma,EGFR,531.757,3.211,1
colorectal_cancer,SGLT2,351.598,2.457,0
rheumatoid_arthritis,PD1,343.776,2.711,0
depression,NMDA,453.936,2.807,0
lymphoma,IL-6,361.014,1.832,0
depression,GABA_A,417.979,3.163,1
lymphoma,BRAF,490.744,2.384,0
psoriasis,VEGF,427.362,4.053,1
schizophrenia,GIPR,541.469,3.185,0
schizophrenia,SGLT2,307.055,5.892,0
melanoma,5-HT1A,469.752,1.875,0
psoriasis,GLP-1R,414.535,1.761,1
lymphoma,NMDA,512.416,1.826,1
psoriasis,GLP-1R,506.51,2.916,0
copd,5-HT1A,634.476,1.601,0
psoriasis,ALK,527.587,3.236,0
breast_cancer,TNF_alpha,371.438,2.313,0
type2_diabetes,ALK,541.695,4.274,1
psoriasis,VEGF,444.604,4.194,1
prostate_cancer,TNF_alpha,499.711,2.795,1
colorectal_cancer,SGLT2,483.881,1.395,0
schizophrenia,GLP-1R,471.122,1.952,0
colon_cancer,mTOR,519.724,3.327,0
asthma,PD1,465.794,0.775,0
lung_cancer,EGFR,490.843,3.202,1
ovarian_cancer,IL-6,455.61,3.157,0
lymphoma,BRAF,447.235,3.906,0
asthma,TNF_alpha,358.707,3.216,0
migraine,GABA_A,577.362,2.412,1
rheumatoid_arthritis,5-HT1A,461.191,3.574,0
rheumatoid_arthritis,SGLT2,589.545,3.664,1
copd,PD-L1,379.804,4.416,1
depression,PD-1,441.052,2.547,0
rheumatoid_arthritis,5-HT1A,479.717,2.119,0
colon_cancer,PD-L1,501.545,3.146,0
obesity,VEGF,526.945,3.821,0
breast_cancer,IL-6,472.201,3.32,0
psoriasis,HER2,459.441,0.9,1
lung_cancer,BRAF,483.052,2.767,0
obesity,ALK,444.543,2.845,0
type2_diabetes,PD-1,324.449,2.363,0
breast_cancer,D2,364.418,1.46,0
prostate_cancer,PD-1,389.892,4.52,1
rheumatoid_arthritis,ALK,310.966,5.102,1
ovarian_cancer,PD-1,442.055,2.728,0
depression,mTOR,541.325,1.942,0
colon_cancer,mTOR,499.527,2.624,0
lung_cancer,EGFR,557.69,2.208,0
obesity,GLP-1R,463.067,4.462,0
colorectal_cancer,TNF_alpha,550.1,4.376,1
lung_cancer,GLP-1R,444.853,2.545,0
obesity,PD-1,580.29,3.185,1
melanoma,VEGF,386.956,3.657,0
psoriasis,HER2,512.078,3.514,1
breast_cancer,BRAF,542.58,2.829,1
ovarian_cancer,PD-1,371.044,1.812,1
rheumatoid_arthritis,TNF_alpha,353.687,3.225,0
type2_diabetes,VEGF,473.909,3.635,1
colorectal_cancer,TNF_alpha,504.344,2.29,0
migraine,SGLT2,420.857,5.025,0
ovarian_cancer,BRAF,455.059,2.724,0
lung_cancer,SGLT2,545.354,2.697,0
colon_cancer,BRAF,550.496,4.188,1
prostate_cancer,GABA_A,525.009,2.509,1
migraine,BRAF,482.014,0.986,0
colorectal_cancer,GABA_A,444.287,1.533,0
melanoma,D2,488.977,3.767,1
copd,TNF_alpha,478.815,3.158,1
copd,GIPR,475.029,3.066,0
type2_diabetes,5-HT1A,591.09,3.863,1
migraine,PD1,471.213,2.351,0
copd,TNF_alpha,549.424,4.618,1
ovarian_cancer,PD1,491.312,1.755,0
rheumatoid_arthritis,5-HT1A,508.629,2.487,0
migraine,GIPR,506.52,2.981,0
colon_cancer,5-HT1A,570.756,1.435,1
lymphoma,VEGF,393.466,3.72,0
obesity,PD1,369.058,2.672,0
obesity,NMDA,422.499,3.121,1
schizophrenia,VEGF,416.328,1.44,0
rheumatoid_arthritis,SGLT2,316.79,0.998,0
migraine,EGFR,563.273,2.473,1
migraine,GABA_A,321.743,1.185,0
melanoma,GLP-1R,561.368,2.718,0
schizophrenia,PD-1,472.239,2.153,0
migraine,ALK,701.972,4.106,1
